CASRN,DTXSID,Name,Formula,PPARg_Emax,PPARg_assay,LXR_Emax,LXR_assay,FXR_Emax,FXR_assay,PXR_Emax,PXR_assay,BCF,LogP,Predicted concentration in human blood (μM),
78-96-6,DTXSID9021764,1-Amino-2-propanol,C3H9NO,0,0,0,0,0,0,0,0,0.97051,-0.963546,8.51E-06,
97-00-7,DTXSID6020278,"1-Chloro-2,4-dinitrobenzene",C6H3ClN2O4,0,0,1.129230495,1.862018273,55.61629225,0.771347865,0,0,12.4165,2.1691,2.65E-05,
107-06-2,DTXSID6020438,"1,2-Dichloroethane",C2H4Cl2,0,0,0,0,0,0,0,0,8.27942,1.47638,0.000706,
120-82-1,DTXSID0021965,"1,2,4-Trichlorobenzene",C6H3Cl3,0,0,0,0,0,0,0,0,1233.1,3.99445,0.00317,
107-20-0,DTXSID4020292,Chloroacetaldehyde,C2H3ClO,0,0,1.822359773,0.65693546,0,0,0,0, ,0.541412,0.000348,
107-07-3,DTXSID1021877,2-Chloroethanol,C2H5ClO,0,0,0,0,0,0,0,0,1.77828,0.0292809,0.00207,
328-50-7,DTXSID5033179,alpha-Ketoglutaric acid,C5H6O5,0,0,,,0,0,0,0,0.0590201,-1.39487,0.00259,
583-78-8,DTXSID7025003,"2,5-Dichlorophenol",C6H4Cl2O,0,0,0,0,0,0,0,0,43.451,3.0596,0.0025,
99-50-3,DTXSID4021212,"3,4-Dihydroxybenzoic acid",C7H6O4,0,0,,,0,0,0,0,1.05196,0.860561,0.00176,
100-54-9,DTXSID1026665,3-Pyridinecarbonitrile,C6H4N2,0,0,0,0,0,0,0,0,3.38065,0.361324,0.000508,
501-52-0,DTXSID2047064,Hydrocinnamic acid,C9H10O2,0,0,,,0,0,0,0,2.56448,1.84183,0.00122,
12/2/1956,DTXSID6035106,4-Aminobutanoic acid,C4H9NO2,,,,,,,,,0.698232,-3.16697,0.0012,
99-96-7,DTXSID3026647,4-Hydroxybenzoic acid,C7H6O3,0,0,0,0,0,0,0,0,1.53815,1.57746,1.63E-05,
107-21-1,DTXSID8020597,Ethylene glycol,C2H6O2,0,0,0,0,0,0,0,0,0.74131,-1.35982,7.93E-05,
64-19-7,DTXSID5024394,Acetic acid,C2H4O2,0,0,0,0,0,0,0,0,0.599791,-0.170189,0.00287,
75-07-0,DTXSID5039224,Acetaldehyde,C2H4O,0,0,0,0,0,0,55.93101238,1.834955993, ,-0.33813,0.00492,
60-35-5,DTXSID7020005,Acetamide,C2H5NO,0,0,0,0,0,0,0,0,0.636796,-1.17478,7.20E-05,
513-86-0,DTXSID0024399,Acetoin,C4H8O2,0,0,0,0,0,0,0,0,1.11429,-0.158187,3.62E-05,
67-64-1,DTXSID8021482,Acetone,C3H6O,0,0,,,0,0,0,0,1.91426,-0.23752,0.00514,
73-24-5,DTXSID6022557,Adenine,C5H5N5,0,0,0,0,0,0,25.23702527,1.23720903,1.1324,-0.0907432,4.60E-05,
124-04-9,DTXSID7021605,Hexanedioic acid,C6H10O4,0,0,0,0,0,0,0,0,0.23,0.0798162,0.000662,
97-59-6,DTXSID3020043,Allantoin,C4H6N4O3,0,0,0,0,0,0,0,0,0.0157761,-1.35991,0.00376,
118-92-3,DTXSID8020094,Anthranilic acid,C7H7NO2,0,0,,,0,0,0,0,0.816582,1.20837,0.00192,
100-52-7,DTXSID8039241,Benzaldehyde,C7H6O,0,0,,,0,0,0,0,6.16,1.47434,0.000744,
71-43-2,DTXSID3039242,Benzene,C6H6,0,0,,,0,0,0,0,34.0408,2.13105,5.20E-05,
65-85-0,DTXSID6020143,Benzoic acid,C7H6O2,0,0,0,0,0,0,0,0,1.47571,1.87054,0.000222,
100-51-6,DTXSID5020152,Benzyl alcohol,C7H8O,0,0,0,0,0,0,0,0,6.16,1.10165,0.000211,
107-43-7,DTXSID8022666,Betaine,C5H11NO2,0,0,0,0,0,0,0,0, ,-0.125518,6.89E-05,
123-72-8,DTXSID8021513,Butyraldehyde,C4H8O,0,0,0,0,0,0,0,0, ,0.879054,0.00322,
513-85-9,DTXSID8041321,"2,3-Butanediol",C4H10O2,0,0,0,0,0,0,0,0,1.38038,-0.916022,0.00147,
71-36-3,DTXSID1021740,1-Butanol,C4H10O,0,0,0,0,0,0,0,0,3.34965,0.879541,0.000122,
107-92-6,DTXSID8021515,Butanoic acid,C4H8O2,0,0,0,0,0,0,0,0,1.41,0.790824,0.006,
120-80-9,DTXSID3020257,"1,2-benzenediol",C6H6O2,0,0,0,0,0,0,34.30358128,1.296084396,5.05825,0.879361,8.75E-05,
143-50-0,DTXSID1020770,Kepone,C10Cl10O,0,0,1.72966176,2.170647571,0,0,53.22015191,1.534673172, ,5.41094,0.00168,
1979/11/8,DTXSID4020901,Chloroacetic acid,C2H3ClO2,0,0,,,0,0,0,0,0.77983,0.220273,0.00289,
104-55-2,DTXSID1024835,3-Phenylprop-2-enal,C9H8O,0,0,,,0,0,0,0, ,1.89921,0.00147,
104-54-1,DTXSID9041491,3-Phenyl-2-propen-1-ol,C9H10O,0,0,0,0,0,0,0,0,7.2277,1.94886,0.00626,
77-92-9,DTXSID3020332,Citric acid,C6H8O7,0,0,0,0,0,0,0,0,0.0345939,-1.64024,0.000193,
91-64-5,DTXSID7020348,Coumarin,C9H6O2,0,0,0,0,0,0,0,0, ,1.39143,0.00116,
536-60-7,DTXSID0021626,4-Isopropylbenzyl alcohol,C10H14O,0,0,0,0,0,0,0,0,15.0314,2.51955,0.000132,
122-03-2,DTXSID9021974,4-Isopropylbenzaldehyde,C10H12O,0,0,0,0,0,0,0,0, ,2.69687,0.00489,
7786-61-0,DTXSID7052529,2-Methoxy-4-vinylphenol,C9H10O2,,,0,0,,,0,0,16.0694,2.22529,0.00337,
95-48-7,DTXSID8021808,o-Cresol,C7H8O,0,0,0,0,0,0,0,0,11.3501,1.95091,0.000108,
69-72-7,DTXSID7026368,Salicylic acid,C7H6O3,0,0,0,0,0,0,0,0,1.18,2.26129,0.000237,
108-39-4,DTXSID6024200,m-Cresol,C7H8O,0,0,0,0,0,0,0,0,11.3501,1.95957,0.00514,
111-65-9,DTXSID0026882,Octane,C8H18,0,0,,,0,0,0,0,580.764,5.17863,4.68E-05,
149-91-7,DTXSID0020650,Gallic acid,C7H6O5,0,0,,,0,0,0,0,0.516416,0.69942,4.58E-05,
124-07-2,DTXSID3021645,Octanoic acid,C8H16O2,0,0,0,0,0,0,0,0,9.54993,3.04853,0.00176,
111-16-0,DTXSID5021598,Heptanedioic acid,C7H12O4,0,0,,,0,0,0,0,0.212814,0.609227,0.00102,
79-46-9,DTXSID6020981,2-Nitropropane,C3H7NO2,0,0,0,0,0,0,0,0, ,1.13979,0.000177,
