INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	DTXCID	INCHIKEY	SMILES	BIOCONCENTRATION_FACTOR	LOGP
DTXSID9021764	DSSTox_Substance_Id	DTXSID9021764	1-Amino-2-propanol	78-96-6	1-Aminopropan-2-ol	DTXCID901764	HXKKHQJGJAFBHI-UHFFFAOYSA-N	CC(O)CN	0.97051	-0.963546
DTXSID6020278	DSSTox_Substance_Id	DTXSID6020278	"1-Chloro-2,4-dinitrobenzene"	97-00-7	"1-Chloro-2,4-dinitrobenzene"	DTXCID00278	VYZAHLCBVHPDDF-UHFFFAOYSA-N	[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O	12.4165	2.1691
DTXSID6020438	DSSTox_Substance_Id	DTXSID6020438	"1,2-Dichloroethane"	107-06-2	"1,2-Dichloroethane"	DTXCID40438	WSLDOOZREJYCGB-UHFFFAOYSA-N	ClCCCl	8.27942	1.47638
DTXSID0021965	DSSTox_Substance_Id	DTXSID0021965	"1,2,4-Trichlorobenzene"	120-82-1	"1,2,4-Trichlorobenzene"	DTXCID701965	PBKONEOXTCPAFI-UHFFFAOYSA-N	ClC1=CC(Cl)=C(Cl)C=C1	1233.1	3.99445
DTXSID4020292	DSSTox_Substance_Id	DTXSID4020292	2-Chloroacetaldehyde	107-20-0	Chloroacetaldehyde	DTXCID60292	QSKPIOLLBIHNAC-UHFFFAOYSA-N	ClCC=O	 	0.541412
DTXSID1021877	DSSTox_Substance_Id	DTXSID1021877	2-Chloroethanol	107-07-3	2-Chloroethan-1-ol	DTXCID601877	SZIFAVKTNFCBPC-UHFFFAOYSA-N	OCCCl	1.77828	0.0292809
DTXSID5033179	DSSTox_Substance_Id	DTXSID5033179	alpha-Ketoglutaric acid	328-50-7	2-Oxopentanedioic acid	DTXCID3013179	KPGXRSRHYNQIFN-UHFFFAOYSA-N	OC(=O)CCC(=O)C(O)=O	0.0590201	-1.39487
DTXSID7025003	DSSTox_Substance_Id	DTXSID7025003	"2,5-Dichlorophenol"	583-78-8	"2,5-Dichlorophenol"	DTXCID705003	RANCECPPZPIPNO-UHFFFAOYSA-N	OC1=CC(Cl)=CC=C1Cl	43.451	3.0596
DTXSID4021212	DSSTox_Substance_Id	DTXSID4021212	"3,4-Dihydroxybenzoic acid"	99-50-3	"3,4-Dihydroxybenzoic acid"	DTXCID601212	YQUVCSBJEUQKSH-UHFFFAOYSA-N	OC(=O)C1=CC(O)=C(O)C=C1	1.05196	0.860561
DTXSID1026665	DSSTox_Substance_Id	DTXSID1026665	3-Pyridinecarbonitrile	100-54-9	Pyridine-3-carbonitrile	DTXCID606665	GZPHSAQLYPIAIN-UHFFFAOYSA-N	N#CC1=CN=CC=C1	3.38065	0.361324
DTXSID2047064	DSSTox_Substance_Id	DTXSID2047064	Hydrocinnamic acid	501-52-0	3-Phenylpropanoic acid	DTXCID0027064	XMIIGOLPHOKFCH-UHFFFAOYSA-N	OC(=O)CCC1=CC=CC=C1	2.56448	1.84183
DTXSID6035106	DSSTox_Substance_Id	DTXSID6035106	4-Aminobutanoic acid	1956/12/2	4-Aminobutanoic acid	DTXCID4015106	BTCSSZJGUNDROE-UHFFFAOYSA-N	NCCCC(O)=O	0.698232	-3.16697
DTXSID3026647	DSSTox_Substance_Id	DTXSID3026647	4-Hydroxybenzoic acid	99-96-7	4-Hydroxybenzoic acid	DTXCID806647	FJKROLUGYXJWQN-UHFFFAOYSA-N	OC(=O)C1=CC=C(O)C=C1	1.53815	1.57746
DTXSID8020597	DSSTox_Substance_Id	DTXSID8020597	Ethylene glycol	107-21-1	"Ethane-1,2-diol"	DTXCID40597	LYCAIKOWRPUZTN-UHFFFAOYSA-N	OCCO	0.74131	-1.35982
DTXSID5024394	DSSTox_Substance_Id	DTXSID5024394	Acetic acid	64-19-7	Acetic acid	DTXCID304394	QTBSBXVTEAMEQO-UHFFFAOYSA-N	CC(O)=O	0.599791	-0.170189
DTXSID5039224	DSSTox_Substance_Id	DTXSID5039224	Acetaldehyde	75-07-0	Acetaldehyde	DTXCID202	IKHGUXGNUITLKF-UHFFFAOYSA-N	CC=O	 	-0.33813
DTXSID7020005	DSSTox_Substance_Id	DTXSID7020005	Acetamide	60-35-5	Acetamide	DTXCID505	DLFVBJFMPXGRIB-UHFFFAOYSA-N	CC(N)=O	0.636796	-1.17478
DTXSID0024399	DSSTox_Substance_Id	DTXSID0024399	Acetoin	513-86-0	3-Hydroxybutan-2-one	DTXCID304399	ROWKJAVDOGWPAT-UHFFFAOYSA-N	CC(O)C(C)=O	1.11429	-0.158187
DTXSID8021482	DSSTox_Substance_Id	DTXSID8021482	Acetone	67-64-1	Propan-2-one	DTXCID101482	CSCPPACGZOOCGX-UHFFFAOYSA-N	CC(C)=O	1.91426	-0.23752
DTXSID6022557	DSSTox_Substance_Id	DTXSID6022557	Adenine	73-24-5	9H-Purin-6-amine	DTXCID502557	GFFGJBXGBJISGV-UHFFFAOYSA-N	NC1=NC=NC2=C1N=CN2	1.1324	-0.0907432
DTXSID7021605	DSSTox_Substance_Id	DTXSID7021605	Hexanedioic acid	124-04-9	Hexanedioic acid	DTXCID301605	WNLRTRBMVRJNCN-UHFFFAOYSA-N	OC(=O)CCCCC(O)=O	0.23	0.0798162
