DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,LXR_Emax,LXR_assay
DTXSID001339559,AFFF Solberg F2(0.5X) + F3(0.5X),NOCAS_1339559,, ,Inactive,0,0
DTXSID00190950,6:1 Fluorotelomer alcohol,375-82-6,C7H3F13O,349.997631,Inactive,0,0
DTXSID00192353,8:2 Fluorotelomer sulfonic acid,39108-34-4,C10H5F17O3S,527.968794,Inactive,0,0
DTXSID00194615,"1H,1H,9H-Perfluorononyl acrylate",4180-26-1,C12H6F16O2,486.01123,Active,0.786115028,0.138148153
DTXSID0020020,Actarit,18699-02-0,C10H11NO3,193.073893,Inactive,0,0
DTXSID0020022,Acifluorfen,50594-66-6,C14H7ClF3NO5,360.996485,Inactive,0,0
DTXSID0020072,4-Biphenylamine hydrochloride,2113-61-3,C12H12ClN,205.065827,Inactive,0,0
DTXSID0020076,Amitrole,61-82-5,C2H4N4,84.043596,Inactive,0,0
DTXSID0020105,Sodium L-ascorbate,134-03-2,C6H7NaO6,198.014032,Inactive,0,0
DTXSID0020107,Aspartame,22839-47-0,C14H18N2O5,294.121572,Inactive,0,0
DTXSID0020151,Benzyl acetate,140-11-4,C9H10O2,150.06808,Inactive,0,0
DTXSID0020232,Caffeine,1958/8/2,C8H10N4O2,194.080376,Inactive,0,0
DTXSID0020236,Calcium lactate,814-80-2,C6H10CaO6,218.010329,Inactive,0,0
DTXSID0020280,1-Chloro-2-nitrobenzene,88-73-3,C6H4ClNO2,156.993056,Inactive,0,0
DTXSID0020282,"4-Chloro-1,3-diaminobenzene",5131-60-2,C6H7ClN2,142.029776,Inactive,0,0
DTXSID0020284,"2-Chloro-1,4-diaminobenzene sulfate (1:1)",61702-44-1,C6H9ClN2O4S,239.997156,Inactive,0,0
DTXSID0020286,3-Chloro-4-methylaniline,95-74-9,C7H8ClN,141.034527,Inactive,0,0
DTXSID0020288,4-Chloro-2-methylaniline hydrochloride,3165-93-3,C7H9Cl2N,177.011205,Inactive,0,0
DTXSID0020311,Monuron,150-68-5,C9H11ClN2O,198.055991,Inactive,0,0
