DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,PXR_Emax,PXR_assay
DTXSID0020020,18699-02-0,C10H11NO3,193.073893,Inactive,0,0
DTXSID0020022,50594-66-6,C14H7ClF3NO5,360.996485,Inactive,0,0
DTXSID0020024,3054-95-3,C7H14O2,130.09938,Inactive,0,0
DTXSID0020070,60-32-2,C6H13NO2,131.094629,Inactive,0,0
DTXSID0020072,2113-61-3,C12H12ClN,205.065827,Active,85.37564796,1.187753552
DTXSID0020074,60142-96-3,C9H17NO2,171.125929,Inactive,0,0
DTXSID0020076,61-82-5,C2H4N4,84.043596,Inactive,0,0
DTXSID0020101,11096-82-5,, ,Active,58.60398904,1.450881289
DTXSID0020105,134-03-2,C6H7NaO6,198.014032,Inactive,0,0
DTXSID0020107,22839-47-0,C14H18N2O5,294.121572,Inactive,0,0
DTXSID0020151,140-11-4,C9H10O2,150.06808,Inactive,0,0
DTXSID0020153,100-44-7,C7H7Cl,126.023628,Inactive,0,0
DTXSID0020155,622-78-6,C8H7NS,149.02992,Active,81.75957008,0.620027098
DTXSID0020157,20570-96-1,C7H12Cl2N2,194.037754,Active,144.6302802,0.705290331
DTXSID0020232,1958/8/2,C8H10N4O2,194.080376,Active,22.30298893,2.16930756
DTXSID0020236,814-80-2,C6H10CaO6,218.010329,Inactive,0,0
DTXSID0020238,59721-29-8,C21H26N4O8S,494.147135,Inactive,0,0
DTXSID0020280,88-73-3,C6H4ClNO2,156.993056,Inactive,0,0
DTXSID0020282,5131-60-2,C6H7ClN2,142.029776,Active,25.21481186,1.09687789
DTXSID0020284,61702-44-1,C6H9ClN2O4S,239.997156,Active,60.13792246,1.090853798
DTXSID0020286,95-74-9,C7H8ClN,141.034527,Active,29.10675299,0.840011478
DTXSID0020288,3165-93-3,C7H9Cl2N,177.011205,Inactive,0,0
DTXSID0020311,150-68-5,C9H11ClN2O,198.055991,Inactive,0,0
DTXSID0020315,1976/6/2,CCl3NO2,162.899461,Inactive,0,0
DTXSID0020319,1897-45-6,C8Cl4N2,263.881559,Active,30.63423771,2.756087984
DTXSID0020361,4998-76-9,C6H14ClN,135.081477,Inactive,0,0
DTXSID0020363,1192-28-5,C5H9NO,99.068414,Inactive,0,0
DTXSID0020365,59865-13-3,C62H111N11O12,1201.841368,Active,79.79892715,1.349700201
DTXSID0020367,52-89-1,C3H8ClNO2S,156.996427,Inactive,0,0
DTXSID0020369,4342/3/4,C6H10N6O,182.091609,Inactive,0,0
DTXSID0020440,120-36-5,C9H8Cl2O3,233.98505,Inactive,0,0
DTXSID0020442,94-75-7,C8H6Cl2O3,219.9694,Inactive,0,0
DTXSID0020444,25168-26-7,, ,Inactive,0,0
